Disease	Nodes	Edges	Connected_Components	Largest_CC	Second_Largest_CC	Density	Clustering_coeff	CC's no single nodes	Number of CCs as Ratio	Low Degree < 50	Medium Degree  < 150	High Degree Nodes
gwas_Alzheimer.tsv	97	27	76	16	4	0.005798969	0.085910653	5	0.783505155	75	21	1
gwas_autism.tsv	112	36	82	21	5	0.005791506	0.052806122	7	0.732142857	87	24	1
gwas_bipolar_disorder.tsv	153	74	101	17	13	0.006363949	0.063824048	11	0.660130719	119	33	1
gwas_breast_cancer.tsv	123	43	88	31	3	0.005731041	0.054200542	5	0.715447154	90	27	6
gwas_crohn.tsv	158	181	82	74	2	0.014593244	0.149458484	4	0.518987342	114	39	5
gwas_Dementia.tsv	191	72	134	39	9	0.003968035	0.068237347	10	0.701570681	146	42	3
gwas_depression.tsv	190	83	122	35	14	0.004622668	0.064728488	14	0.642105263	154	33	3
gwas_major_depressive_disorder.tsv	109	21	93	11	3	0.003567788	0.049541284	6	0.853211009	90	17	2
gwas_multiple_sclerosis.tsv	91	24	73	14	4	0.005860806	0.035897436	4	0.802197802	66	23	2
gwas_schizophrenia.tsv	157	51	117	13	10	0.004164625	0.059872611	11	0.74522293	121	30	6
gwas_waist_hip.tsv	72	11	62	8	2	0.004303599	0.030092593	4	0.861111111	59	12	1
ulcerative_colitis.tsv	114	123	52	62	2	0.019096414	0.145052396	2	0.456140351	77	31	6
vogelstein.txt	127	519	16	111	2	0.064866892	0.390094942	2	0.125984252	49	57	21
												
												
												
												
												
	Disease	Nodes	Largest Connected Component	2nd Largest Connected Component	P(X>x)* Largest Component	Pr(X>x)** 2nd Component						
	Alzheimer's Disease	97	16	4	0.025	0.449						
	Autism	112	21	5	0.022	0.33						
	Bipolar Disorder	153	17	13	0.277	0.018						
	Breast Cancer	123	31	3	0.01	0.97						
	Crohn's Disease	158	74	2	0	1						
	Dementia	191	39	9	0.123	0.305						
	General Depression	190	35	14	0.15	0.064						
	Major Depressive Disorder	109	11	3	0.174	0.924						
	Multiple Sclerosis	91	14	4	0.036	0.397						
	Schizophrenia	157	13	10	0.448	0.086						
	Waist Hip	72	8	2	0.098	0.983						
	Ulcerative Colitis	114	62	2	0	1						
	Pan-Cancer	127	111	2	0	1						
