Disease	Nodes	Edges	Connected_Components	Largest_CC	Second_Largest_CC	Clustering_coeff	CC's no single nodes	Number of CCs as Ratio
gwas_Alzheimer.tsv	97	27	76	16	4	0.085910653	5	0.783505155
gwas_autism.tsv	112	36	82	21	5	0.052806122	7	0.732142857
gwas_bipolar_disorder.tsv	153	74	101	17	13	0.063824048	11	0.660130719
gwas_breast_cancer.tsv	123	43	88	31	3	0.054200542	5	0.715447154
gwas_crohn.tsv	158	181	82	74	2	0.149458484	4	0.518987342
gwas_Dementia.tsv	191	72	134	39	9	0.068237347	10	0.701570681
gwas_depression.tsv	190	83	122	35	14	0.064728488	14	0.642105263
gwas_major_depressive_disorder.tsv	109	21	93	11	3	0.049541284	6	0.853211009
gwas_multiple_sclerosis.tsv	91	24	73	14	4	0.035897436	4	0.802197802
gwas_schizophrenia.tsv	157	51	117	13	10	0.059872611	11	0.74522293
gwas_waist_hip.tsv	72	11	62	8	2	0.030092593	4	0.861111111
ulcerative_colitis.tsv	114	123	52	62	2	0.145052396	2	0.456140351
vogelstein.txt	127	519	16	111	2	0.390094942	2	0.125984252
dep + bp + schizo	353	310	175	165	4	0.10622	12	
