Disease	Nodes	Edges	Connected_Components	Largest_CC	Second_Largest_CC	Clustering_coeff	CC's no single nodes	Number of CCs as Ratio
gwas_Alzheimer.tsv	97	27	76	16	4	0.085910652921	5	0.7835051546391752577319587629
gwas_autism.tsv	112	36	82	21	5	0.052806122449	7	0.7321428571428571428571428571
gwas_bipolar_disorder.tsv	153	74	101	17	13	0.0638240481378	11	0.6601307189542483660130718954
gwas_breast_cancer.tsv	123	43	88	31	3	0.0542005420054	5	0.7154471544715447154471544715
gwas_crohn.tsv	158	181	82	74	2	0.149458484205	4	0.5189873417721518987341772152
gwas_Dementia.tsv	191	72	134	39	9	0.0682373472949	10	0.7015706806282722513089005236
gwas_depression.tsv	190	83	122	35	14	0.0647284878864	14	0.6421052631578947368421052632
gwas_major_depressive_disorder.tsv	109	21	93	11	3	0.0495412844037	6	0.8532110091743119266055045872
gwas_multiple_sclerosis.tsv	91	24	73	14	4	0.0358974358974	4	0.8021978021978021978021978022
gwas_schizophrenia.tsv	157	51	117	13	10	0.059872611465	11	0.7452229299363057324840764331
gwas_waist_hip.tsv	72	11	62	8	2	0.0300925925926	4	0.8611111111111111111111111111
ulcerative_colitis.tsv	114	123	52	62	2	0.145052396291	2	0.4561403508771929824561403509
vogelstein.txt	127	519	16	111	2	0.390094941921	2	0.1259842519685039370078740157
