DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2015-06-18	25534755	Chaste P	2014-09-30	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25534755	A Genome-wide Association Study of Autism Using the Simons Simplex Collection: Does Reducing Phenotypic Heterogeneity in Autism Increase Genetic Homogeneity?	Autism spectrum disorder-related traits	1633 European ancestry trios, 942 trios	NA	13q33.3	13	109501681	intergenic	LOC105370359 - LOC107984602	105370359	107984602		97377	52242	rs4773054-?	rs4773054	0	4773054	intergenic_variant	1	NR	7E-8	7.154901959985743	(Autism paternal model)	2.9	[1.91-4.39]	Illumina [up to 2017939]	N
2009-05-11	19404256	Wang K	2009-04-28	Nature	www.ncbi.nlm.nih.gov/pubmed/19404256	Common genetic variants on 5p14.1 associate with autism spectrum disorders.	Autism	3,101 European ancestry individuals from 780 families, 1,204 European ancestry cases, 6,491 European ancestry controls	1,390 European ancestry individuals from 447 families, 108 European ancestry cases, 540 European ancestry controls	5p14.1	5	25967594	CDH10, CDH9	MSNP1 - RNU4-43P	4479	106481185		54316	45295	rs4307059-T	rs4307059	0	4307059	intergenic_variant	1	0.61	2E-10	9.698970004336019		1.19	[NR]	Illumina [474019]	N
2009-06-10	19456320	Ma D	2009-05-28	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19456320	A genome-wide association study of autism reveals a common novel risk locus at 5p14.1.	Autism	1,390 European ancestry individuals from 438 families	2,390 European ancestry individuals from 457 families	5p14.1	5	25902233	intergenic	RNU6-374P - MSNP1	106481296	4479		200909	7074	rs10038113-T	rs10038113	0	10038113	intergenic_variant	1	0.59	3E-6	5.522878745280337		1.33	[1.11-1.43]	Illumina [775311]	N
2009-10-23	19812673	Weiss LA	2009-10-08	Nature	www.ncbi.nlm.nih.gov/pubmed/19812673	A genome-wide linkage and association scan reveals novel loci for autism.	Autism	1,553 cases from 1,031 families	2,073 trios	5p15.31	5	9623510	SEMA5A, TAS2R1	LOC101929359 - TAS2R1	101929359	50834		23070	5487	rs10513025-?	rs10513025	0	10513025	non_coding_transcript_exon_variant	1	NR	2E-7	6.698970004336019		1.81	[NR]	Affymetrix [~ 365000]	N
2010-09-10	20663923	Anney R	2010-07-27	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20663923	A genome-wide scan for common alleles affecting risk for autism.	Autism	1,385 child cases from 1,369 families	1,086 child cases from 595 families, 1,965 European, African American and other ancestry controls	20p12.1	20	14766825	MACROD2	MACROD2			140733			rs4141463-?	rs4141463	0	4141463	intron_variant	0	0.57	4E-8	7.3979400086720375	(Str)	1.37	[1.22-1.52]	Illumina [842348]	N
2010-09-10	20663923	Anney R	2010-07-27	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20663923	A genome-wide scan for common alleles affecting risk for autism.	Autism	1,385 child cases from 1,369 families	1,086 child cases from 595 families, 1,965 European, African American and other ancestry controls	14q32.31	14	101894408	PPP2R5C	PPP2R5C			5527			rs7142002-?	rs7142002	0	7142002	intron_variant	0	0.94	3E-6	5.522878745280337	(Spc)	1.56	[1.28-1.89]	Illumina [842348]	N
2012-09-26	22843504	Anney R	2012-07-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22843504	Individual common variants exert weak effects on the risk for autism spectrum disorderspi.	Autism	1,419 European ancestry cases from 1416 families	1,314 European ancestry cases from 1301 families	2q33.3	2	205221447	PARD3B	PARD3B			117583			rs4675502-?	rs4675502	0	4675502	intron_variant	0	NR	4E-7	6.3979400086720375	(Strict, all)	1.28	[1.16-1.41]	Illumina [947233]	N
2012-09-26	22843504	Anney R	2012-07-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22843504	Individual common variants exert weak effects on the risk for autism spectrum disorderspi.	Autism	1,419 European ancestry cases from 1416 families	1,314 European ancestry cases from 1301 families	5q34	5	162656512	intergenic	LOC105377698			105377698			rs7711337-?	rs7711337	0	7711337	intergenic_variant	0	NR	8E-7	6.096910013008056	(Spectrum, all)	1.22	[1.12-1.32]	Illumina [947233]	N
2012-09-26	22843504	Anney R	2012-07-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22843504	Individual common variants exert weak effects on the risk for autism spectrum disorderspi.	Autism	1,419 European ancestry cases from 1416 families	1,314 European ancestry cases from 1301 families	8q13.3	8	71649507	intergenic	LOC105375892 - LOC107986890	105375892	107986890		94332	82238	rs7834018-?	rs7834018	0	7834018	intergenic_variant	1	NR	8E-7	6.096910013008056	(Strict, EA)	1.56	[1.3-1.89]	Illumina [947233]	N
2012-09-26	22843504	Anney R	2012-07-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22843504	Individual common variants exert weak effects on the risk for autism spectrum disorderspi.	Autism	1,419 European ancestry cases from 1416 families	1,314 European ancestry cases from 1301 families	16q24.1	16	84180078	TAF1C	TAF1C			9013			rs4150167-?	rs4150167	0	4150167	missense_variant	0	NR	3E-7	6.522878745280337	(Spectrum, all)	1.96	[1.52-2.56]	Illumina [947233]	N
