DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	15q22.2	15	60974897	RORA	RORA			6095			rs12912233-T	rs12912233	0	12912233	intron_variant	0	0.46	6E-7	6.221848749616356		0.15	[NR] unit increase	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	17q12	17	35516493	SLFN12L	SLFN12L			100506736			rs8070473-T	rs8070473	0	8070473	intron_variant	0	0.32	2E-6	5.698970004336019		0.16	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	5p14.3	5	19440059	CDH18	HSPD1P15 - CDH18	646273	1016		205854	32871	rs349475-T	rs349475	0	349475	intergenic_variant	1	0.29	2E-6	5.698970004336019		0.18	[NR] unit increase	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	11p15.4	11	7993230	EIF3F	EIF3F			8665			rs12420464-T	rs12420464	0	12420464	intron_variant	0	0.04	3E-6	5.522878745280337		0.38	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	13q33.3	13	107127968	FAM155A	LOC105370350			105370350			rs1927745-A	rs1927745	0	1927745	intergenic_variant	0	0.24	5E-6	5.301029995663981		0.16	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	16q23.3	16	83250733	CDH13	CDH13			1012			rs10514585-A	rs10514585	0	10514585	intron_variant	0	0.31	5E-6	5.301029995663981		0.15	[NR] unit increase	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	10p11.22	10	33005847	ITGB1	LOC101929475			101929475			rs11009175-A	rs11009175	0	11009175	intron_variant	0	0.17	5E-6	5.301029995663981		0.16	[NR] unit increase	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	7q31.33	7	126999550	GRM8	GRM8			2918			rs17864092-T	rs17864092	0	17864092	intron_variant	0	0.90	6E-6	5.221848749616356		0.17	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	2p24.1	2	23191780	intergenic	LOC107985792			107985792			rs1449984-A	rs1449984	0	1449984	intron_variant	0	0.72	7E-6	5.154901959985743		0.15	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	12q24.32	12	127329196	intergenic	LOC101927616			101927616			rs10744304-A	rs10744304	0	10744304	intron_variant	0	0.63	9E-6	5.045757490560675		0.15	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N
