DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	4q34.3	4	179363660	intergenic	LOC105377563 - LOC105377564	105377563	105377564		546334	600786	rs6811556-A	rs6811556	0	6811556	intergenic_variant	1	NR	9E-6	5.045757490560675	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	5q21.3	5	108498546	intergenic	LOC105379114 - RPS20P3	105379114	6225		12462	94938	rs4571457-G	rs4571457	0	4571457	intergenic_variant	1	NR	7E-6	5.154901959985743	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	6p21.33	6	30831622	IER3, GTF2H4, FLOT1, VARS2, MIR588, DDR1	LINC00243 - LOC105375014	401247	105375014		963	7907	rs9501030-A	rs9501030	0	9501030	upstream_gene_variant	1	NR	4E-6	5.3979400086720375	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	7p21.1	7	18760790	HDAC9	HDAC9			9734			rs11764116-A	rs11764116	0	11764116	intron_variant	0	NR	2E-6	5.698970004336019	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	7q21.11	7	82228577	CACNA2D1	CACNA2D1			781			rs929351-C	rs929351	0	929351	intron_variant	0	NR	8E-6	5.096910013008056	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	13q31.1	13	78976799	intergenic	LOC105370273			105370273			rs7319358-A	rs7319358	0	7319358	intergenic_variant	0	NR	3E-6	5.522878745280337	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	14q12	14	28663671	intergenic	LOC105370422 - BTF3P2	105370422	283631		50039	9311	rs1956388-A	rs1956388	0	1956388	intergenic_variant	1	NR	2E-6	5.698970004336019	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	20q11.21	20	33130847	C20orf71, C20orf70	BPIFB4 - LOC105372714	149954	105372714		19096	9490	rs6059101-A	rs6059101	0	6059101	regulatory_region_variant	1	NR	4E-6	5.3979400086720375	(Analysis II)			Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	6p21.32	6	32111790	MHC	TNXB - ATF6B	7148	1388		2416	3478	rs17207986-G	rs17207986	0	17207986	intron_variant	1	NR	1E-16	16.0	(Analysis III)	3.95	[NR]	Illumina [313720]	N
2013-08-20	20848476	Haritunians T	2010-11-01	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/20848476	Genetic predictors of medically refractory ulcerative colitis.	Ulcerative colitis	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls	NA	9q32	9	114842790	TNFSF15	TNFSF15 - LOC645266	9966	645266		36662	2804	rs11554257-G	rs11554257	0	11554257	upstream_gene_variant	1	NR	1E-6	6.0	(Analysis III)	1.82	[NR]	Illumina [313720]	N
