DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2009-02-04	19107115	Muglia P	2008-12-23	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/19107115	Genome-wide association study of recurrent major depressive disorder in two European case-control cohorts.	Major depressive disorder	1,359 European ancestry cases, 1,782 European ancestry controls	NA	12p13.32	12	4009151	CCND2	LOC105369608 - LOC105369611	105369608	105369611		50544	3876	rs4238010-G	rs4238010	0	4238010	intergenic_variant	1	0.02	6E-6	5.221848749616356		1.72		Affymetrix, Illumina [494678] (imputed)	N
2011-01-04	21042317	Wray NR	2010-11-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21042317	Genome-wide association study of major depressive disorder: new results, meta-analysis, and lessons learned.	Major depressive disorder	2,431 European ancestry cases, 3,673 European ancestry controls	3,332 European ancestry cases, 3,228 European ancestry controls	1q42.11	1	224351238	CNIH4, NVL, WDR26	NVL - CNIH4	4931	29097		21037	5573	rs11579964-C	rs11579964	0	11579964	intergenic_variant	1	0.84	4E-6	5.3979400086720375		1.19	[NR]	Affymetrix, Illumina [1251157] (imputed)	N
2011-01-04	21042317	Wray NR	2010-11-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21042317	Genome-wide association study of major depressive disorder: new results, meta-analysis, and lessons learned.	Major depressive disorder	2,431 European ancestry cases, 3,673 European ancestry controls	3,332 European ancestry cases, 3,228 European ancestry controls	3q27.2	3	185158995	C3orf70, EHHADH	C3orf70 - EHHADH-AS1	285382	339926		5981	3906	rs7647854-G	rs7647854	0	7647854	upstream_gene_variant	1	0.16	5E-6	5.301029995663981		1.19	[NR]	Affymetrix, Illumina [1251157] (imputed)	N
2011-01-04	21042317	Wray NR	2010-11-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21042317	Genome-wide association study of major depressive disorder: new results, meta-analysis, and lessons learned.	Major depressive disorder	2,431 European ancestry cases, 3,673 European ancestry controls	3,332 European ancestry cases, 3,228 European ancestry controls	16q22.3	16	73467637	intergenic	C16orf47			388289			rs12446956-C	rs12446956	0	12446956	intron_variant	0	0.13	1E-6	6.0		1.22	[NR]	Affymetrix, Illumina [1251157] (imputed)	N
2011-01-04	21042317	Wray NR	2010-11-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21042317	Genome-wide association study of major depressive disorder: new results, meta-analysis, and lessons learned.	Major depressive disorder	2,431 European ancestry cases, 3,673 European ancestry controls	3,332 European ancestry cases, 3,228 European ancestry controls	18q12.3	18	43292308	intergenic	SYT4 - LOC105372088	6860	105372088		14658	518386	rs12457996-T	rs12457996	0	12457996	intergenic_variant	1	0.77	6E-6	5.221848749616356		1.15	[NR]	Affymetrix, Illumina [1251157] (imputed)	N
2012-05-11	22472876	Sullivan	2012-04-03	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/22472876	A mega-analysis of genome-wide association studies for major depressive disorder.	Major depressive disorder	9,240 European ancestry cases, 9,519 European ancestry controls	6,783 European ancestry cases, 50,695 European ancestry controls	4q35.2	4	187270152	intergenic	LOC107986335 - LOC339975	107986335	339975		9641	33931	rs4478239-?	rs4478239	0	4478239	intergenic_variant	1	NR	5E-6	5.301029995663981				Affymetrix, Illumina, Perlegen [~ 1200000] (imputed)	N
2012-05-11	22472876	Sullivan	2012-04-03	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/22472876	A mega-analysis of genome-wide association studies for major depressive disorder.	Major depressive disorder	9,240 European ancestry cases, 9,519 European ancestry controls	6,783 European ancestry cases, 50,695 European ancestry controls	16q24.2	16	87428363	MAP1LC3B, ZCCHC14, FBXO31	ZCCHC14			23174			rs9646303-?	rs9646303	0	9646303	intron_variant	0	NR	5E-6	5.301029995663981				Affymetrix, Illumina, Perlegen [~ 1200000] (imputed)	N
2012-05-11	22472876	Sullivan	2012-04-03	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/22472876	A mega-analysis of genome-wide association studies for major depressive disorder.	Major depressive disorder	9,240 European ancestry cases, 9,519 European ancestry controls	6,783 European ancestry cases, 50,695 European ancestry controls	3q21.1	3	122610313	PARP9, DTX3L, PARP15	PARP15			165631			rs2173763-?	rs2173763	0	2173763	intron_variant	0	NR	6E-6	5.221848749616356				Affymetrix, Illumina, Perlegen [~ 1200000] (imputed)	N
2012-05-11	22472876	Sullivan	2012-04-03	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/22472876	A mega-analysis of genome-wide association studies for major depressive disorder.	Major depressive disorder	9,240 European ancestry cases, 9,519 European ancestry controls	6,783 European ancestry cases, 50,695 European ancestry controls	8q23.3	8	115621472	TRPS1	TRPS1			7227			rs2721937-?	rs2721937	0	2721937	intron_variant	0	NR	8E-6	5.096910013008056				Affymetrix, Illumina, Perlegen [~ 1200000] (imputed)	N
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	7p14.3	7	31115733	ADCYAP1R1	ADCYAP1R1 - LOC107986780	117	107986780		1728	3310	rs1558477-?	rs1558477	0	1558477	downstream_gene_variant	1		3E-7	6.522878745280337				Perlegen [433556]	N
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	2p24.1	2	20061924	LAPTM4A	LOC105373463			105373463			rs7565124-?	rs7565124	0	7565124	downstream_gene_variant	0		2E-6	5.698970004336019				Perlegen [433556]	N
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	10p11.22	10	33968684	PARD3	RPL23P11 - PARD3	100271297	56288		103961	140876	rs1780436-?	rs1780436	0	1780436	intergenic_variant	1		3E-6	5.522878745280337				Perlegen [433556]	N
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	7q21.11	7	82820719	PCLO	PCLO			27445			rs2715148-?	rs2715148	0	2715148	3_prime_UTR_variant	0		1E-6	6.0				Perlegen [433556]	N
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	15q21.1	15	48900594	SHC4	SHC4			399694			rs8023445-?	rs8023445	0	8023445	intron_variant	0		2E-6	5.698970004336019				Perlegen [433556]	N
2010-03-02	20125088	Shi J	2010-02-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20125088	Genome-wide association study of recurrent early-onset major depressive disorder.	Major depressive disorder	1,020 European ancestry cases, 1,636 European ancestry controls	NA	18q22.1	18	67618042	DSEL	LOC643542, LOC105372174			643542, 105372174			rs17077540-G	rs17077540	0	17077540	intron_variant	0	0.11	2E-7	6.698970004336019		1.61		Affymetrix [671424]	N
2010-03-02	20125088	Shi J	2010-02-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20125088	Genome-wide association study of recurrent early-onset major depressive disorder.	Major depressive disorder	1,020 European ancestry cases, 1,636 European ancestry controls	NA	21q21.2	21	23770802	intergenic	LOC105372749 - LOC105372750	105372749	105372750		61508	41815	rs2828520-G	rs2828520	0	2828520	intergenic_variant	1	0.31	4E-7	6.3979400086720375		1.35		Affymetrix [671424]	N
2010-03-02	20125088	Shi J	2010-02-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20125088	Genome-wide association study of recurrent early-onset major depressive disorder.	Major depressive disorder	1,020 European ancestry cases, 1,636 European ancestry controls	NA	5p13.2	5	38051491	GDNF	LOC105374731			105374731			rs270545-G	rs270545	0	270545	intron_variant	0	0.69	1E-6	6.0		1.37		Affymetrix [671424]	N
2010-03-02	20125088	Shi J	2010-02-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20125088	Genome-wide association study of recurrent early-onset major depressive disorder.	Major depressive disorder	1,020 European ancestry cases, 1,636 European ancestry controls	NA	1p13.3	1	109577110	GNAT2, GNAI3, AMPD2	GNAI3			2773			rs6537837-T	rs6537837	0	6537837	intron_variant	0	0.17	1E-6	6.0		1.43		Affymetrix [671424]	N
