DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-09-15	17975299	Webster JA	2007-11-01	Neurodegener Dis	www.ncbi.nlm.nih.gov/pubmed/17975299	Sorl1 as an Alzheimer's disease predisposition gene?	Alzheimer's disease	664 cases, 422 controls	NA	19q13.32	19	44919689	APOE	APOC1 - APOC1P1	341	342		340	7114	rs4420638-?	rs4420638	0	4420638	downstream_gene_variant	1	NR	1E-39	39.0				Affymetrix [~ 502627]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	19q13.32	19	44892362	APOE, TOMM40	TOMM40			10452			rs2075650-G	rs2075650	0	2075650	intron_variant	0	0.20	5E-36	35.30102999566398		2.94	[2.48-3.47]	Illumina [483399]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	6q25.1	6	150885942	MTHFD1L	MTHFD1L			25902			rs11754661-A	rs11754661	0	11754661	intron_variant	0	0.07	2E-10	9.698970004336019		2.1	[1.67-2.64]	Illumina [483399]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	19q13.32	19	44878777	PVRL2	PVRL2			5819			rs6859-A	rs6859	0	6859	3_prime_UTR_variant	0	0.46	1E-7	7.0		1.41	[1.24-1.60]	Illumina [483399]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	2q13	2	109018801	intergenic	RANBP2			5903			rs4676049-A	rs4676049	0	4676049	intergenic_variant	0	0.08	4E-8	7.3979400086720375		1.76	[1.44-2.15]	Illumina [483399]	N
2015-04-01	25027320	Ramirez A	2014-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25027320	SUCLG2 identified as both a determinator of CSF Aß1-42-levels and an attenuator of cognitive decline in Alzheimer's disease.	Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	363 European ancestry individuals	515 individuals	3p14.1	3	67406609	SUCLG2	SUCLG2			8801			rs62256378-A	rs62256378	0	62256378	intron_variant	0	0.061	3E-12	11.522878745280337		0.71	[0.51-0.91] unit increase	Illumina [6812394] (imputed)	N
2015-04-01	25027320	Ramirez A	2014-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25027320	SUCLG2 identified as both a determinator of CSF Aß1-42-levels and an attenuator of cognitive decline in Alzheimer's disease.	Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	363 European ancestry individuals	515 individuals	19q13.32	19	44908684	APOE	APOE			348			rs429358-?	rs429358	0	429358	missense_variant	0	0.442	4E-17	16.397940008672037		0.4	[0.30-0.50] unit decrease	Illumina [6812394] (imputed)	N
2008-06-16	17553421	Reiman EM	2007-06-07	Neuron	www.ncbi.nlm.nih.gov/pubmed/17553421	GAB2 alleles modify Alzheimer's risk in APOE epsilon4 carriers.	Alzheimer's disease (late onset)	446 cases, 290 controls	415 cases, 260 controls	11q14.1	11	78380104	GAB2	GAB2			9846			rs2373115-G	rs2373115	0	2373115	intron_variant	0	0.70	1E-10	10.0		4.06	[2.81-14.69]	Affymetrix [312316]	N
2008-09-08	17474819	Coon KD	2007-04-01	J Clin Psychiatry	www.ncbi.nlm.nih.gov/pubmed/17474819	A high-density whole-genome association study reveals that APOE is the major susceptibility gene for sporadic late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	664 European ancestry cases, 422 European ancestry controls	NA	19q13.32	19	44919689	APOE	APOC1 - APOC1P1	341	342		340	7114	rs4420638-?	rs4420638	0	4420638	downstream_gene_variant	1	NR	1E-39	39.0		4.01	[NR]	Affymetrix [~ 502627]	N
2009-09-28	17998437	Li H	2007-11-12	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/17998437	Candidate single-nucleotide polymorphisms from a genomewide association study of Alzheimer disease.	Alzheimer's disease	753 European ancestry cases, 736 European ancestry controls	418 European ancestry cases, 249 European ancestry controls	19q13.32	19	44919689	APOE, APOC1	APOC1 - APOC1P1	341	342		340	7114	rs4420638-?	rs4420638	0	4420638	downstream_gene_variant	1	NR	2E-44	43.69897000433602				Affymetrix [469438]	N
