DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of Risk Loci for Crohn's Disease Phenotypes Using a Genome-wide Association Study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	1p22.3	1	86444581	CLCA2	CLCA2			9635			rs2249296-C	rs2249296	0	2249296	intron_variant	0	0.78	1E-6	6.0	(Ileal involvement)	1.69	[1.35-2.13]	Illumina [539846]	N
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of Risk Loci for Crohn's Disease Phenotypes Using a Genome-wide Association Study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	2q24.1	2	155895409	intergenic	LOC105373703			105373703			rs1520339-C	rs1520339	0	1520339	intergenic_variant	0	0.69	6E-7	6.221848749616356	(MDC)	1.724138	[1.39-2.13]	Illumina [539846]	N
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of Risk Loci for Crohn's Disease Phenotypes Using a Genome-wide Association Study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	3p14.1	3	65774667	MAGI1	LOC107986018, MAGI1			107986018, 9223			rs11924265-C	rs11924265	0	11924265	intron_variant	0	0.06	5E-7	6.301029995663981	(B2)	2.03	[1.52-2.73]	Illumina [539846]	N
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of Risk Loci for Crohn's Disease Phenotypes Using a Genome-wide Association Study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	1q23.2	1	159916632	TAGLN2	CFAP45 - TAGLN2	25790	8407		16516	1475	rs12122337-G	rs12122337	0	12122337	downstream_gene_variant	1	0.06	1E-6	6.0	(CDC Perianal)	2.2	[1.56-3.07]	Illumina [539846]	N
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of Risk Loci for Crohn's Disease Phenotypes Using a Genome-wide Association Study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	3q13.2	3	111762099	PHLDB2	PLCXD2, PHLDB2			257068, 90102			rs9868898-G	rs9868898	0	9868898	intron_variant	0	0.16	2E-6	5.698970004336019	(Perianal disease)	1.49	[1.26-1.76]	Illumina [539846]	N
2008-06-16	17554261	Parkes M	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554261	Sequence variants in the autophagy gene IRGM and multiple other replicating loci contribute to Crohn's disease susceptibility.	Crohn's disease	1,748 cases, 2,938 controls	1,182 European ancestry cases, 2,024 European ancestry controls	1q31.2	1	191590226	intergenic	LOC105371660 - LOC107985457	105371660	107985457		361728	375099	rs10801047-?	rs10801047	0	10801047	intergenic_variant	1	0.08	3E-8	7.522878745280337		1.47	[1.22-1.76]	Affymetrix [see WTCCC]	N
2008-06-16	17554261	Parkes M	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554261	Sequence variants in the autophagy gene IRGM and multiple other replicating loci contribute to Crohn's disease susceptibility.	Crohn's disease	1,748 cases, 2,938 controls	1,182 European ancestry cases, 2,024 European ancestry controls	3p21.31	3	49664550	MST1	BSN			8927			rs9858542-?	rs9858542	0	9858542	synonymous_variant	0	0.29	5E-8	7.301029995663981		1.17	[1.14-1.31]	Affymetrix [see WTCCC]	N
2008-06-16	17554261	Parkes M	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554261	Sequence variants in the autophagy gene IRGM and multiple other replicating loci contribute to Crohn's disease susceptibility.	Crohn's disease	1,748 cases, 2,938 controls	1,182 European ancestry cases, 2,024 European ancestry controls	5q33.1	5	150843825	IRGM	SMIM3 - IRGM	85027	345611		47089	2698	rs13361189-?	rs13361189	0	13361189	upstream_gene_variant	1	0.08	2E-10	9.698970004336019		1.38	[1.15-1.66]	Affymetrix [see WTCCC]	N
2008-06-16	17554261	Parkes M	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554261	Sequence variants in the autophagy gene IRGM and multiple other replicating loci contribute to Crohn's disease susceptibility.	Crohn's disease	1,748 cases, 2,938 controls	1,182 European ancestry cases, 2,024 European ancestry controls	10q24.2	10	99528007	NKX2-3	LINC01475			101927324			rs10883365-?	rs10883365	0	10883365	non_coding_transcript_exon_variant	0	0.48	4E-10	9.397940008672037		1.18	[1.05-1.32]	Affymetrix [see WTCCC]	N
2008-06-16	17554261	Parkes M	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554261	Sequence variants in the autophagy gene IRGM and multiple other replicating loci contribute to Crohn's disease susceptibility.	Crohn's disease	1,748 cases, 2,938 controls	1,182 European ancestry cases, 2,024 European ancestry controls	18p11.21	18	12779948	PTPN2	LOC100996324 - PTPN2	100996324	5771		30526	5530	rs2542151-?	rs2542151	0	2542151	upstream_gene_variant	1	0.18	3E-8	7.522878745280337		1.15	[1.00-1.32]	Affymetrix [see WTCCC]	N
