DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2016-02-02	25781172	Avramopoulos D	2015-03-17	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25781172	Infection and inflammation in schizophrenia and bipolar disorder: a genome wide study for interactions with genetic variation.	Bipolar disorder (inflammation and infection response interaction)	397 Ashkenazi Jewish bipolar disorder cases, 241  Ashkenazi Jewish controls	NA	17q24.2	17	68348562	intergenic	ARSG			22901			rs9910816-?	rs9910816	0	9910816	intron_variant	0		2E-6	5.698970004336019	(anti-CMV)			Affymetrix [516638]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	1q23.2	1	159184522	CADM3	CADM3			57863			rs16841832-G	rs16841832	0	16841832	intron_variant	0	0.76	9E-6	5.045757490560675		2.0	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	1q43	1	237735135	RYR2	RYR2			6262			rs2685295-A	rs2685295	0	2685295	intron_variant	0	0.61	7E-6	5.154901959985743		1.724138	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	3q26.33	3	180949777	FXR1	FXR1			8087			rs1805576-G	rs1805576	0	1805576	intron_variant	0	0.21	1E-6	6.0		1.79	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	3q26.33	3	181063312	SOX2-OT	SOX2-OT			347689			rs4854912-T	rs4854912	0	4854912	intron_variant	0	0.19	9E-8	7.045757490560675		1.91	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	9p21.3	9	23516290	CR627240	LOC101929563			101929563			rs10965890-C	rs10965890	0	10965890	intron_variant	0	0.06	4E-6	5.3979400086720375		2.27	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	10q23.1	10	81895974	NRG3	NRG3			10718			rs7912575-G	rs7912575	0	7912575	intron_variant	0	0.01	3E-6	5.522878745280337		4.52	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	12q21.32	12	87334666	NR	LOC107984478			107984478			rs10858583-C	rs10858583	0	10858583	intergenic_variant	0	0.23	2E-7	6.698970004336019		1.84	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	13q31.2	13	89259450	NR	LINC00440			100874172			rs314580-G	rs314580	0	314580	intergenic_variant	0	0.04	8E-6	5.096910013008056		2.41	[NR]	Affymetrix [703012]	N
2016-09-06	26433762	Liu X	2015-09-25	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/26433762	A genome-wide association study of bipolar disorder with comorbid eating disorder replicates the SOX2-OT region.	Bipolar disorder and eating disorder	184 European ancestry cases with bipolar disorder and eating disorder, 1,370 European ancestry controls	NA	13q32.3	13	101073961	NALCN	NALCN			259232			rs9554752-T	rs9554752	0	9554752	intron_variant	0	0.36	6E-6	5.221848749616356		1.65	[NR]	Affymetrix [703012]	N
