DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2014-07-29	24325915	Purrington KS	2013-12-09	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24325915	Genome-wide association study identifies 25 known breast cancer susceptibility loci as risk factors for triple-negative breast cancer.	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	1,529 European ancestry cases, 3,399 European ancestry controls	2,148 European ancestry cases, 1,309 European ancestry controls	1q32.1	1	204549714	MDM4	MDM4			4194			rs4245739-C	rs4245739	0	4245739	3_prime_UTR_variant	0		4E-6	5.3979400086720375		1.19	[1.11-1.29]	Illumina [NR] (imputed)	N
2014-07-29	24325915	Purrington KS	2013-12-09	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24325915	Genome-wide association study identifies 25 known breast cancer susceptibility loci as risk factors for triple-negative breast cancer.	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	1,529 European ancestry cases, 3,399 European ancestry controls	2,148 European ancestry cases, 1,309 European ancestry controls	5p15.33	5	1279675	TERT	TERT			7015			rs10069690-A	rs10069690	0	10069690	intron_variant	0		1E-7	7.0		1.24	[1.14-1.34]	Illumina [NR] (imputed)	N
2014-07-29	24325915	Purrington KS	2013-12-09	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24325915	Genome-wide association study identifies 25 known breast cancer susceptibility loci as risk factors for triple-negative breast cancer.	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	1,529 European ancestry cases, 3,399 European ancestry controls	2,148 European ancestry cases, 1,309 European ancestry controls	6q25.1	6	151592978	ESR1	CCDC170			80129			rs3757318-A	rs3757318	0	3757318	intron_variant	0		9E-6	5.045757490560675		1.33	[1.17-1.51]	Illumina [NR] (imputed)	N
2014-07-29	24325915	Purrington KS	2013-12-09	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24325915	Genome-wide association study identifies 25 known breast cancer susceptibility loci as risk factors for triple-negative breast cancer.	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	1,529 European ancestry cases, 3,399 European ancestry controls	2,148 European ancestry cases, 1,309 European ancestry controls	19p13.11	19	17283315	intergenic	ANKLE1			126549			rs2363956-C	rs2363956	0	2363956	missense_variant	0		2E-8	7.698970004336019		1.2195	[1.14-1.3]	Illumina [NR] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	12p12.1	12	21178615	SLCO1B1	SLCO1B1			10599			rs4149056-C	rs4149056	0	4149056	missense_variant	0	0.136	4E-11	10.397940008672037		0.5	[0.35-0.65] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	12p12.1	12	21215863	SLCO1B1	SLCO1B1			10599			rs2900478-A	rs2900478	0	2900478	intron_variant	0	0.14	7E-10	9.154901959985743		0.48	[0.33-0.63] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma estrone levels in resected estrogen-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	14q24.2	14	70423423	ADAM21, LOC105370555, C14orf55	LOC105370555			105370555			rs12586722-A	rs12586722	0	12586722	downstream_gene_variant	0	0.155	1E-6	6.0		0.3	[0.18-0.42] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma estrone levels in resected estrogen-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	14q24.2	14	70452982	PLEKHD1	LOC105370555, ADAM21			105370555, 8747			rs8014252-G	rs8014252	0	8014252	intron_variant	0	0.1556	2E-6	5.698970004336019		0.2981	[0.18-0.42] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma androstenedione levels in resected early stage-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	19p13.12	19	14774988	EMR2, ADGRE2	ADGRE2			30817			rs57712673-A	rs57712673	0	57712673	intron_variant	0	0.349	1E-7	7.0		0.36	[0.23-0.49] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma androstenedione levels in resected early stage-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	7p14.2	7	36899717	ELMO1	ELMO1			9844			rs59964204-A	rs59964204	0	59964204	intron_variant	0	0.096	3E-7	6.522878745280337		0.45	[0.28-0.62] pg/mL decrease	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma androstenedione levels in resected early stage-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	10q23.2	10	86667452	LDB3	LDB3			11155			rs34346910-C	rs34346910	0	34346910	upstream_gene_variant	0	0.111	6E-7	6.221848749616356		0.49	[0.3-0.68] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma androstenedione levels in resected early stage-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	8q24.3	8	142925688	LOC100288248, CYP11B2	LOC105375794			105375794			rs6988985-C	rs6988985	0	6988985	intergenic_variant	0	0.461	7E-7	6.154901959985743		0.25	[0.15-0.35] pg/mL increase	Illumina [8203257] (imputed)	N
2017-07-17	28429243	Dudenkov TM	2017-04-20	Breast Cancer Res Treat	www.ncbi.nlm.nih.gov/pubmed/28429243	SLCO1B1 polymorphisms and plasma estrone conjugates in postmenopausal women with ER+ breast cancer: genome-wide association studies of the estrone pathway.	Plasma androstenedione levels in resected early stage-receptor positive breast cancer	707 European ancestry postmenopausal cases, 52 African ancestry postmenopausal cases, 15 Asian ancestry postmenopausal cases	NA	10p14	10	8346355	LOC100507143	LINC00708 - LOC105376396	100507143	105376396		78050	36118	rs7075481-G	rs7075481	0	7075481	intergenic_variant	1	0.1279	8E-7	6.096910013008056		0.3776	[0.23-0.53] pg/mL increase	Illumina [8203257] (imputed)	N
